vm,application_name,tier,criticality,owner,technologies,suggested_target,migration_wave
vm-prod-pharmacy-app-03,pharmacy,app,tier-2,pharmacy-it,Windows Service; .NET 6; Microsoft Windows Server 2019,Azure Virtual Machines,wave-3
vm-prod-pharmacy-app-04,pharmacy,app,tier-2,pharmacy-it,Windows Service; .NET 6; Microsoft Windows Server 2022,Azure Virtual Machines,wave-3
vm-prod-pharmacy-db-01,pharmacy,db,tier-2,pharmacy-it,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Azure SQL Managed Instance candidate,wave-3
vm-prod-pharmacy-db-02,pharmacy,db,tier-2,pharmacy-it,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Azure SQL Managed Instance candidate,wave-3
vm-prod-call-center-web-01,call-center,web,tier-2,customer-ops,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-call-center-web-02,call-center,web,tier-2,customer-ops,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-call-center-web-03,call-center,web,tier-2,customer-ops,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2022,Azure VMware Solution,wave-2
vm-prod-call-center-web-04,call-center,web,tier-2,customer-ops,IIS 10; .NET Framework 4.8; Microsoft Windows Server 2019,Azure VMware Solution,wave-2
vm-prod-call-center-app-01,call-center,app,tier-2,customer-ops,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
vm-prod-call-center-app-02,call-center,app,tier-2,customer-ops,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
vm-prod-call-center-app-03,call-center,app,tier-2,customer-ops,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
vm-prod-call-center-app-04,call-center,app,tier-2,customer-ops,IIS 10; .NET 8; Microsoft Windows Server 2022,Azure App Service candidate,wave-3
vm-prod-call-center-db-01,call-center,db,tier-2,customer-ops,SQL Server 2019; SSIS; Microsoft Windows Server 2022,Azure SQL Managed Instance candidate,wave-3
vm-prod-call-center-db-02,call-center,db,tier-2,customer-ops,SQL Server 2019; SSIS; Microsoft Windows Server 2019,Azure SQL Managed Instance candidate,wave-3
vm-prod-research-genomics-etl-01,research-genomics,etl,tier-2,research-platform,Apache Airflow; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-etl-02,research-genomics,etl,tier-2,research-platform,Apache Airflow; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-etl-03,research-genomics,etl,tier-2,research-platform,Apache Airflow; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-etl-04,research-genomics,etl,tier-2,research-platform,Apache Airflow; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-01,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-02,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-03,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-04,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-05,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-06,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-07,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-comput-08,research-genomics,compute,tier-2,research-platform,Nextflow; Docker; Python 3.11; Rocky Linux 9,Azure Virtual Machines,wave-3
vm-prod-research-genomics-db-01,research-genomics,db,tier-2,research-platform,PostgreSQL 14; Patroni; Ubuntu Linux,Azure Database for PostgreSQL candidate,wave-3
vm-prod-research-genomics-db-02,research-genomics,db,tier-2,research-platform,PostgreSQL 14; Patroni; Ubuntu Linux,Azure Database for PostgreSQL candidate,wave-3
vm-dev-devops-shared-ci-01,devops-shared,ci,tier-3,platform-engineering,Jenkins; Docker; CentOS 7,Azure Virtual Machines,wave-1
vm-dev-devops-shared-ci-02,devops-shared,ci,tier-3,platform-engineering,Jenkins; Docker; CentOS 7,Azure Virtual Machines,wave-1
vm-dev-devops-shared-artifa-01,devops-shared,artifact,tier-3,platform-engineering,Nginx; Python 3.11; Ubuntu Linux,Azure Virtual Machines,wave-1
vm-dev-devops-shared-artifa-02,devops-shared,artifact,tier-3,platform-engineering,Nginx; Python 3.11; Ubuntu Linux,Azure Virtual Machines,wave-1
